conv_id,utterance_idx,context,prompt,speaker_idx,utterance,selfeval,tags
hit:5886_conv:11772,3,furious,Someone took my laptop from my car.  I am so angry someone stole it.,322,I know right! I am so angry someone stole it!,5|5|5_5|5|5,
hit:11307_conv:22615,1,jealous,My sister went to the movie with my best friend instead of me.,653,My sister took my best friend to the movie instead of me_comma_ I was really sad. ,5|4|4_5|5|5,
hit:4165_conv:8330,2,disappointed,I was disappointed in the new Mario Tennis game_comma_ but it was not the biggest letdown,61,Sorry_comma_ I have not played it myself. ,5|5|5_5|5|5,
hit:1883_conv:3767,1,confident,I am starting to help my cousin out in his garage. It's hard for him to find time to show me things so I've just jumped in and been doing it and I'm doing pretty well at it.,17,I am starting to help my cousin out in his garage. It's hard for him to find time to show me secretarial type things_comma_ so I've just jumped in and been doing it. I'm doing pretty well so far.,3|2|5_5|4|5,
hit:1477_conv:2955,2,anticipating,I'm starting a new job soon.,126,I am sure you will love it,5|5|5_4|5|4,
hit:3335_conv:6670,2,disgusted,I saw someone putting mayo on their ice cream.  It was really nasty looking.,329,Really? lol,3|3|5_5|5|5,
hit:10950_conv:21901,2,afraid,I lost my wallet while out shopping. It took hours to find it.,318,I bet it was! Did you end up finding it or did you have to cancel all of your cards?,5|5|5_5|5|5,
hit:3882_conv:7764,1,caring,I cooked my wife dinner because I love her,445,My wife came home to an entire table of food I cooked.  I like to show her that I love her.,5|5|5_5|5|5,
hit:1686_conv:3372,5,angry,I was very upset when I realized my neighbors dog had puppies_comma_ about ten of them. They don't take care of them and they are malnourished. It's enfuriating.,248,I think so but the animal shelter will kill them.,5|5|5_5|5|5,
hit:8107_conv:16215,3,disappointed,My second vacuum I ordered from a company works good but the metal pole is not working right. Super upset as this is the second issue I have had.,296,I will however super upset as this is the second issue I have had. It's a bit much!,5|5|5_4|3|4,
hit:2086_conv:4172,3,surprised,The other day I saw a man take a dog from the street_comma_ I've been seeing that dog for a while and in a couple of days I see this dog on the streets again_comma_ poor little thing.,77,I don't know but it's a sweetheart_comma_ I'd take it myself if only I didn't have one already. ,5|5|5_4|5|5,
hit:1011_conv:2022,4,nostalgic, I get nostalgic thinking about all the games I used to lpay with my friends on our street,220,Ghost in the graveyard was a blast! I can't believe I forgot that one. It sounds like we both had great childhoods.,5|5|5_5|5|5,
hit:2165_conv:4330,2,anxious,I can't wait until my daughter becomes an adult. She think its so easy.,225,Most of them are like that_comma_ or they are fixated by what everything costs.,5|5|5_5|5|5,
hit:10693_conv:21387,4,furious,A few years ago_comma_ someone who I thought was a good friend accused me of a crime that I didn't commit.,259,I know someone with that. She might need some medication.,4|5|5_5|5|5,
hit:10753_conv:21506,1,content,Last year I spent a week in Mexico hanging out on a beach.  I felt really at peace and happy.,304,Last year I took a trip to Mexico and basically hung out on the beach for a week.,5|5|5_5|5|5,
hit:765_conv:1530,5,devastated,I just ran out of financial aid for school. I don't know what I'm going to do.,27,I think that's my only option now. ,5|5|5_5|5|5,
hit:7770_conv:15540,4,surprised,I was baffled at the way some people take things,244,Yes that happens but_comma_ I'm not really understanding the context of your comment...,4|4|4_2|2|1,
hit:10945_conv:21890,2,terrified,I woke up one night and realized that a roach crawled on my arm. I jumped up screaming before I killed it.,349,Yikes! I'd have jumped too.,5|5|5_5|5|5,
hit:8425_conv:16851,4,anticipating,I can't wait for the new Super Smash Brothers game to be released.,238,ah that sounds about right,4|5|5_5|5|5,
hit:8298_conv:16596,5,caring,I got my mom some temporary teeth. It is insanely expensive to get one tooth put in_comma_ so this should help her until then.,296,$800 bucks a tooth...From a car accident- Car insurance...FULL coverage does not cover that...it's insane.,5|5|5_5|5|5,
hit:6240_conv:12481,1,jealous,My boss just bought a new boat.  I am so envious of him.,322,My boss just bought a new boat.,4|4|5_5|5|5,
hit:6401_conv:12803,3,proud,My little dog learned to sit!,445,I tought him to sit for a treat_comma_ its so cute.,5|5|5_5|5|5,
hit:1400_conv:2801,4,jealous,When I was a kid- I was very jealous when my cousin would get different presents then me on our birthday.,312,Sounds like you wanted to be the same as your cousin and not set apart. It may seem trivial now_comma_ but I know it wasn't trivial to you at the time.,5|5|5_5|5|4,
hit:1700_conv:3400,3,faithful,I have never cheated on my wife.,4,Cause I love her.,5|5|5_5|5|5,
hit:10134_conv:20268,4,annoyed,They've been doing road work outside my house all week! It just goes on for 12 hours straight everyday_comma_ mostly at night!,305,Are they almost done with it?,5|5|5_5|5|5,
hit:10999_conv:21998,7,anticipating,when I was kid my parents planned a trip to Disney world. It was the longest wait of my life. ,671,Why Disney Land is like one quarter the size?,5|5|5_5|5|5,
hit:2289_conv:4578,2,grateful,I'm thankful to have a lot of work to do.,262,You don't get any free time?,5|5|5_5|5|5,
hit:2988_conv:5976,3,afraid,A group of students at the university are extorting money from me. I am too afraid to go back to the university.,7,I am afraid and scared a lot.,5|5|5_5|5|5,
hit:3292_conv:6585,4,confident,When I got pregnant. I was confident I would be a good mom.,243,I do have kids. Being a mom can be hard_comma_ but it is so rewarding.,5|5|5_5|5|5,
hit:6865_conv:13731,1,content,My friend just went and bought a big tundra_comma_ but I'm super happy just driving my little tacoma.,525,My buddy just came to work showing off his big new tundra.,5|5|5_5|5|5,
hit:6310_conv:12621,1,nostalgic,I miss when my kids were little. They loved to hang out with me. Now they are teenagers and think I am weird.,139,I miss when my kids were younger. They wanted to spend a lot of time with me. Now they are too old for that stuff.,5|5|5_5|5|5,
hit:9748_conv:19496,3,embarrassed,I was embarassed when my pants fell down in class,10,I just had a big pair of pants I guess_comma_ I was a skinny kid,5|5|5_5|5|5,
hit:5181_conv:10362,4,excited,Maroon 5 is coming into town. I've never seen these guys live.,126,They are talented for sure,5|5|5_4|5|4,
hit:7519_conv:15038,4,disgusted,my little brother has the worst smelling farts.,397,MAybe try having a serious talk,5|5|5_5|5|5,
hit:2153_conv:4306,4,impressed,"My toddler is learning how to talk and what objects are called. The other day he was at my parents house and came out of his room with a stuffed giraffe and told everyone_comma_ ""look_comma_ giraffe!"" We all confirmed that none of us taught him what a giraffe was_comma_ so we were surprised he knew what it was. ",296,Amazing! Congratulations. When so many children have issues_comma_ it is always great to see one that is healthy and well.,5|5|5_5|5|5,
hit:10717_conv:21435,3,anticipating,I just finished my final exams and have been constantly checking my phone to see if the marks have been uploaded.,182,I hope so_comma_ I am very eager to get my marks back.,5|5|5_4|4|4,
hit:976_conv:1952,3,grateful,I got a promotion last month_comma_ thank god.,4,I got a promotion last month_comma_ thank god.,5|5|4_2|2|3,
hit:11348_conv:22696,2,proud,my daughter passed her drivers test on the first try,725,That is great news!! ...... but a little scary at the same time. lol,5|5|5_5|5|5,
hit:1035_conv:2071,2,angry,I was upset when my dog ran away,243,Did you find him?,5|5|5_2|5|5,
hit:1652_conv:3304,1,confident,I interviewed at my job for a promotion. I knew I was the top candidate. ,226,I interviewed at my job for a promotion. I knew I was the top candidate.,4|4|4_5|5|5,
hit:3086_conv:6173,4,hopeful,I'm trying to cook a new dish for the first time. I think its going to turn out well.,1,Oh now you're just making me hungry!,5|5|5_5|5|5,
hit:3591_conv:7183,4,terrified,I was on a boat with some friends and we were stranded out at sea_comma_ didn't know if we'll ever see land again.,291,Dang well its a good thing that you made it out okay!,5|5|5_4|5|5,
